Incident_Type,Report_Number,Reported,Occurred,Location,Location_Type,Crime_Type,Narrative,Disposition
Larceny,,,9/5/17,Risley Hall,,,Officer dispatched to take a report from student regarding theft of their secured specialized mountain bike,
Public Lewdness,,,9/6/17,Baker North,,,Officer dispatched to take a report from student regarding unkown male invidual acting in a lewd matter at the front of --,
Larceny,,,9/6/17,Statler hotel,,,Sealed by Ithaca City Court,
Larceny,,,9/6/17,Thurston Court Apartment,,,Officer dispatched to take a report student regg theft of a pair of jumper-cables and a yoga mat from thei,
Larceny,,,9/6/17,The Cornell Store,,,An individual has been referred to the Judicial Administrator.,
Aggravated Harassment,,,9/6/17,Low Rise 7,,,Officer dispatched to take a report from student that has received unwanted email messages from an unkown indivudal,
Traffic Violation,,,9/7/17,Hoy Road,,,"Nathanson, Kevin M., Harrison, NY was referred to Ithaca City Court",
Larceny,,,9/8/17,Teagle Hall,,,Officer dispatched to take a report from student regarding theft of their secured Trek mountain bicycle. Value: $300. ,
Agency Assistance,,,9/8/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department with reported false identification complaint,
Alcohol Offense,,,9/9/17,Mary Donlon Hall,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/9/17,Low Rise 6,,,An individual has been referred to the Judicial Administrator.,
Alcohol Offense,,,9/9/17,Low Rise 6,,,An individual has been referred to the Judicial Administrator.,
Drugs,,,9/9/17,Jessup Field Road,,,Four individuals have been referred to the Judicial Administrator,
Agency Assistance,,,9/9/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department  with reported medical emergency,
Disorderly Conduct,,,9/9/17,East Hill Plaza,,,Officer dispatched to take a report regarding a male individual acting in a disorderly manner. The individual was warned and released.,
Alcohol Offense,,,9/9/17,120 Mary Ann Wood Drive,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/9/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department with possible burglary complaint,
Violation Local Ordinance,,,9/9/17,Eddy Gate,,,Individual warned for an open alcohol container and littering,
Disorderly Conduct,,,9/9/17,Sage Place,,,Officer dispatched to take a report regarding an unknown male invidual yelling obsecenities as he was walking,
Agency Assistance,,,9/10/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department  with reported medical emergency,
Violation Local Ordinance,,,9/10/17,McGraw Road,,,Investigator dispatched to take a report from a staff member that was a victim of identity theft,
Alcohol Offense,,,9/10/17,Thurston Avenue,,,Individual warned for open container,
Disorderly Conduct,,,9/10/17,Robert Purcell Community Center,,,Two individuals have been referred to the Judicial Administrator,
Alcohol Offense,,,9/10/17,Beebe Dam Foot Bridge,,,Officer dispatched to take a report staff member that was being verbally harassed by an unknown individual,
Alcohol Offense,,,9/10/17,Kay Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/10/17,Barton Hall,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/10/17,Barton Hall,,,Cornell University Police assisted Ithaca Police Department  with reported medical emergency,
Agency Assistance,,,9/10/17,Stewart Avenue,,,Cornell University Police assisted N.Y. State Police Department state police with reported motor vehicle accident complaint,
Agency Assistance,,,9/10/17,Ithaca College,,,Cornell University Police assisted Ithaca Police Department with reported trespass complaint,
Disorderly Conduct,,,9/10/17,Anabel Taylor Hall,,,Cornell University Police assisted Ithaca College Campus Safety with a found property complaint,
Larceny,,,9/12/17,Barton Hall,,,Officer dispatched to take a report regarding the theft from a student of their Texas drivers license and bankcard,
Identity Theft,,,9/12/17,Barton Hall,,,Investigator dispatched to take a report from a staff member that was a victim of identity theft,
Identity Theft,,,9/12/17,Barton Hall,,,Investigator dispatched to take a report from a staff member that was a victim of identity theft,
Alcohol Offense,,,9/13/17,Barton Hall,,,Investigator dispatched to take a report from a staff member that was a victim of identity theft,
Agency Assistance,,,9/13/17,Highland Road,,,Cornell University Police assisted Cayuga Heights Police Department with reported suspicious circumstance complaint,
Agency Assistance,,,9/13/17,Kelvin Place,,,Cornell University Police assisted Cayuga Heights Police Department with reported suspicious circumstance complaint,
Agency Assistance,,,9/14/17,1 Forest Park Lane (former Sigma Phi Epsilon fraternity,,,An individual has been referred to the Judicial Administrator.,
Agency Assistance,,,9/14/17,Hasbrouk Apartments,,,Officer dispatched to take a report regarding theft of personal mail from the mail room,
Agency Assistance,,,9/14/17,Stewart Avenue,,,Cornell University Police assisted Ithaca Police Department  with reported medical emergency,
